كراسة اختبار كبيرة - مشروع مجمع سكني ومرافق
م	البند	الكمية	الوحدة
47	توريد وتركيب قواطع زجاجية مقاس 30x30	639	م²
48	توريد كيابل نحاس مقاس 30x30	56	م ط
49	توريد وتركيب وحدات إضاءة ليد مقاس 30x30	65	عدد
50	توريد وتركيب لوحة كهرباء رئيسية مقاس 30x30	102	عدد
51	توريد وتركيب مخارج كهرباء مقاس 30x30	139	عدد
52	توريد وتركيب كواشف دخان مقاس 30x30	17	عدد
53	توريد وتركيب مجاري هواء مرنة مقاس 30x30	241	م ط
54	توريد وتركيب مضخة مياه مقاس 30x30	91	عدد
55	توريد وتركيب خلاطات مياه مقاس 30x30	128	عدد
56	توريد وتركيب مواسير PPR مقاس 30x30	352	م ط
57	توريد حديد تسليح مقاس 30x30	4	طن
58	توريد خرسانة جاهزة مقاس 30x30	86	م³
59	توريد أسمنت مقاوم مقاس 30x30	533	كيس
60	توريد وتركيب طوب أسمنتي مقاس 30x30	154	عدد
61	توريد وتركيب عزل مائي مقاس 30x30	1157	م²
62	توريد وتركيب عزل حراري مقاس 30x30	1194	م²
63	توريد وتركيب أبواب خشبية مقاس 30x30	106	عدد
64	توريد وتركيب نوافذ ألمنيوم مقاس 30x30	118	م²
65	توريد وتركيب درابزين ستانلس مقاس 30x30	105	م ط
66	توريد وتركيب مصاعد كهربائية مقاس 30x30	58	عدد
67	توريد وتركيب مكيفات سبليت مقاس 30x30	8	جهاز
68	توريد وتركيب مراوح شفط مقاس 30x30	132	عدد
69	توريد وتركيب طفايات حريق مقاس 30x30	10	عدد
70	توريد وتركيب شبكة إنذار حريق مقاس 30x30	47	عدد
71	توريد وتركيب كاميرات مراقبة مقاس 30x30	84	عدد
72	توريد وتركيب شبكة بيانات مقاس 30x30	364	م ط
73	توريد خوذ سلامة مقاس 30x30	158	عدد
74	توريد أحذية سلامة مقاس 30x30	88	زوج
75	توريد قفازات عمل مقاس 30x30	125	زوج
76	توريد سقالات معدنية مقاس 30x30	5	طن
77	توريد وتركيب مولد كهربائي مقاس 30x30	18	جهاز
78	توريد لوحات توزيع فرعية مقاس 30x30	25	عدد
79	توريد وتركيب أحواض زراعة مقاس 30x30	62	عدد
80	توريد شجيرات ظل مقاس 30x30	99	عدد
81	توريد وتركيب بلاط بورسلين درجة أولى	747	م²
82	توريد وتركيب أرضيات رخام درجة أولى	784	م²
83	توريد وتركيب نعلات خشبية درجة أولى	191	م ط
84	أعمال الدهان الداخلي درجة أولى	858	م²
85	توريد وتركيب أسقف جبسية درجة أولى	895	م²
86	توريد وتركيب قواطع جيبسوم بورد درجة أولى	932	م²
87	توريد وتركيب قواطع زجاجية درجة أولى	969	م²
88	توريد كيابل نحاس درجة أولى	376	م ط
89	توريد وتركيب وحدات إضاءة ليد درجة أولى	114	عدد
90	توريد وتركيب لوحة كهرباء رئيسية درجة أولى	151	عدد
91	توريد وتركيب مخارج كهرباء درجة أولى	29	عدد
92	توريد وتركيب كواشف دخان درجة أولى	66	عدد
93	توريد وتركيب مجاري هواء مرنة درجة أولى	561	م ط
94	توريد وتركيب مضخة مياه درجة أولى	140	عدد
95	توريد وتركيب خلاطات مياه درجة أولى	18	عدد
96	توريد وتركيب مواسير PPR درجة أولى	92	م ط
97	توريد حديد تسليح درجة أولى	2	طن
98	توريد خرسانة جاهزة درجة أولى	91	م³
99	توريد أسمنت مقاوم درجة أولى	313	كيس
100	توريد وتركيب طوب أسمنتي درجة أولى	44	عدد
101	توريد وتركيب عزل مائي درجة أولى	337	م²
102	توريد وتركيب عزل حراري درجة أولى	374	م²
103	توريد وتركيب أبواب خشبية درجة أولى	155	عدد
104	توريد وتركيب نوافذ ألمنيوم درجة أولى	448	م²
105	توريد وتركيب درابزين ستانلس درجة أولى	425	م ط
106	توريد وتركيب مصاعد كهربائية درجة أولى	107	عدد
107	توريد وتركيب مكيفات سبليت درجة أولى	24	جهاز
108	توريد وتركيب مراوح شفط درجة أولى	22	عدد
109	توريد وتركيب طفايات حريق درجة أولى	59	عدد
110	توريد وتركيب شبكة إنذار حريق درجة أولى	96	عدد
111	توريد وتركيب كاميرات مراقبة درجة أولى	133	عدد
112	توريد وتركيب شبكة بيانات درجة أولى	104	م ط
113	توريد خوذ سلامة درجة أولى	48	عدد
114	توريد أحذية سلامة درجة أولى	48	زوج
115	توريد قفازات عمل درجة أولى	85	زوج
116	توريد سقالات معدنية درجة أولى	3	طن
117	توريد وتركيب مولد كهربائي درجة أولى	10	جهاز
118	توريد لوحات توزيع فرعية درجة أولى	74	عدد
119	توريد وتركيب أحواض زراعة درجة أولى	111	عدد
120	توريد شجيرات ظل درجة أولى	148	عدد
121	توريد وتركيب بلاط بورسلين درجة ثانية	1077	م²
122	توريد وتركيب أرضيات رخام درجة ثانية	1114	م²
123	توريد وتركيب نعلات خشبية درجة ثانية	511	م ط
124	أعمال الدهان الداخلي درجة ثانية	1188	م²
125	توريد وتركيب أسقف جبسية درجة ثانية	75	م²
126	توريد وتركيب قواطع جيبسوم بورد درجة ثانية	112	م²
127	توريد وتركيب قواطع زجاجية درجة ثانية	149	م²
128	توريد كيابل نحاس درجة ثانية	116	م ط
129	توريد وتركيب وحدات إضاءة ليد درجة ثانية	4	عدد
130	توريد وتركيب لوحة كهرباء رئيسية درجة ثانية	41	عدد
131	توريد وتركيب مخارج كهرباء درجة ثانية	78	عدد
132	توريد وتركيب كواشف دخان درجة ثانية	115	عدد
133	توريد وتركيب مجاري هواء مرنة درجة ثانية	301	م ط
134	توريد وتركيب مضخة مياه درجة ثانية	30	عدد
135	توريد وتركيب خلاطات مياه درجة ثانية	67	عدد
136	توريد وتركيب مواسير PPR درجة ثانية	412	م ط
137	توريد حديد تسليح درجة ثانية	39	طن
138	توريد خرسانة جاهزة درجة ثانية	96	م³
139	توريد أسمنت مقاوم درجة ثانية	93	كيس
140	توريد وتركيب طوب أسمنتي درجة ثانية	93	عدد
141	توريد وتركيب عزل مائي درجة ثانية	667	م²
142	توريد وتركيب عزل حراري درجة ثانية	704	م²
143	توريد وتركيب أبواب خشبية درجة ثانية	45	عدد
144	توريد وتركيب نوافذ ألمنيوم درجة ثانية	778	م²
145	توريد وتركيب درابزين ستانلس درجة ثانية	165	م ط
146	توريد وتركيب مصاعد كهربائية درجة ثانية	156	عدد
147	توريد وتركيب مكيفات سبليت درجة ثانية	16	جهاز
148	توريد وتركيب مراوح شفط درجة ثانية	71	عدد
149	توريد وتركيب طفايات حريق درجة ثانية	108	عدد
150	توريد وتركيب شبكة إنذار حريق درجة ثانية	145	عدد
151	توريد وتركيب كاميرات مراقبة درجة ثانية	23	عدد
152	توريد وتركيب شبكة بيانات درجة ثانية	424	م ط
153	توريد خوذ سلامة درجة ثانية	97	عدد
154	توريد أحذية سلامة درجة ثانية	198	زوج
155	توريد قفازات عمل درجة ثانية	45	زوج
156	توريد سقالات معدنية درجة ثانية	1	طن
157	توريد وتركيب مولد كهربائي درجة ثانية	2	جهاز
158	توريد لوحات توزيع فرعية درجة ثانية	123	عدد
159	توريد وتركيب أحواض زراعة درجة ثانية	1	عدد
160	توريد شجيرات ظل درجة ثانية	38	عدد
161	توريد وتركيب بلاط بورسلين صناعة سعودية	257	م²
162	توريد وتركيب أرضيات رخام صناعة سعودية	294	م²
163	توريد وتركيب نعلات خشبية صناعة سعودية	251	م ط
164	أعمال الدهان الداخلي صناعة سعودية	368	م²
165	توريد وتركيب أسقف جبسية صناعة سعودية	405	م²
166	توريد وتركيب قواطع جيبسوم بورد صناعة سعودية	442	م²
167	توريد وتركيب قواطع زجاجية صناعة سعودية	479	م²
168	توريد كيابل نحاس صناعة سعودية	436	م ط
169	توريد وتركيب وحدات إضاءة ليد صناعة سعودية	53	عدد
170	توريد وتركيب لوحة كهرباء رئيسية صناعة سعودية	90	عدد
171	توريد وتركيب مخارج كهرباء صناعة سعودية	127	عدد
172	توريد وتركيب كواشف دخان صناعة سعودية	5	عدد
173	توريد وتركيب مجاري هواء مرنة صناعة سعودية	41	م ط
174	توريد وتركيب مضخة مياه صناعة سعودية	79	عدد
175	توريد وتركيب خلاطات مياه صناعة سعودية	116	عدد
176	توريد وتركيب مواسير PPR صناعة سعودية	152	م ط
177	توريد حديد تسليح صناعة سعودية	37	طن
178	توريد خرسانة جاهزة صناعة سعودية	101	م³
179	توريد أسمنت مقاوم صناعة سعودية	723	كيس
180	توريد وتركيب طوب أسمنتي صناعة سعودية	142	عدد
181	توريد وتركيب عزل مائي صناعة سعودية	997	م²
182	توريد وتركيب عزل حراري صناعة سعودية	1034	م²
183	توريد وتركيب أبواب خشبية صناعة سعودية	94	عدد
184	توريد وتركيب نوافذ ألمنيوم صناعة سعودية	1108	م²
185	توريد وتركيب درابزين ستانلس صناعة سعودية	485	م ط
186	توريد وتركيب مصاعد كهربائية صناعة سعودية	46	عدد
187	توريد وتركيب مكيفات سبليت صناعة سعودية	8	جهاز
188	توريد وتركيب مراوح شفط صناعة سعودية	120	عدد
189	توريد وتركيب طفايات حريق صناعة سعودية	157	عدد
190	توريد وتركيب شبكة إنذار حريق صناعة سعودية	35	عدد
191	توريد وتركيب كاميرات مراقبة صناعة سعودية	72	عدد
192	توريد وتركيب شبكة بيانات صناعة سعودية	164	م ط
193	توريد خوذ سلامة صناعة سعودية	146	عدد
194	توريد أحذية سلامة صناعة سعودية	158	زوج
195	توريد قفازات عمل صناعة سعودية	195	زوج
196	توريد سقالات معدنية صناعة سعودية	38	طن
197	توريد وتركيب مولد كهربائي صناعة سعودية	18	جهاز
198	توريد لوحات توزيع فرعية صناعة سعودية	13	عدد
199	توريد وتركيب أحواض زراعة صناعة سعودية	50	عدد
200	توريد شجيرات ظل صناعة سعودية	87	عدد
201	توريد وتركيب بلاط بورسلين صناعة مستوردة	587	م²
202	توريد وتركيب أرضيات رخام صناعة مستوردة	624	م²
203	توريد وتركيب نعلات خشبية صناعة مستوردة	571	م ط
204	أعمال الدهان الداخلي صناعة مستوردة	698	م²
205	توريد وتركيب أسقف جبسية صناعة مستوردة	735	م²
206	توريد وتركيب قواطع جيبسوم بورد صناعة مستوردة	772	م²
207	توريد وتركيب قواطع زجاجية صناعة مستوردة	809	م²
208	توريد كيابل نحاس صناعة مستوردة	176	م ط
209	توريد وتركيب وحدات إضاءة ليد صناعة مستوردة	102	عدد
210	توريد وتركيب لوحة كهرباء رئيسية صناعة مستوردة	139	عدد
211	توريد وتركيب مخارج كهرباء صناعة مستوردة	17	عدد
212	توريد وتركيب كواشف دخان صناعة مستوردة	54	عدد
213	توريد وتركيب مجاري هواء مرنة صناعة مستوردة	361	م ط
214	توريد وتركيب مضخة مياه صناعة مستوردة	128	عدد
215	توريد وتركيب خلاطات مياه صناعة مستوردة	6	عدد
216	توريد وتركيب مواسير PPR صناعة مستوردة	472	م ط
217	توريد حديد تسليح صناعة مستوردة	35	طن
218	توريد خرسانة جاهزة صناعة مستوردة	106	م³
219	توريد أسمنت مقاوم صناعة مستوردة	503	كيس
220	توريد وتركيب طوب أسمنتي صناعة مستوردة	32	عدد
221	توريد وتركيب عزل مائي صناعة مستوردة	177	م²
222	توريد وتركيب عزل حراري صناعة مستوردة	214	م²
223	توريد وتركيب أبواب خشبية صناعة مستوردة	143	عدد
224	توريد وتركيب نوافذ ألمنيوم صناعة مستوردة	288	م²
225	توريد وتركيب درابزين ستانلس صناعة مستوردة	225	م ط
226	توريد وتركيب مصاعد كهربائية صناعة مستوردة	95	عدد
227	توريد وتركيب مكيفات سبليت صناعة مستوردة	24	جهاز
228	توريد وتركيب مراوح شفط صناعة مستوردة	10	عدد
229	توريد وتركيب طفايات حريق صناعة مستوردة	47	عدد
230	توريد وتركيب شبكة إنذار حريق صناعة مستوردة	84	عدد
231	توريد وتركيب كاميرات مراقبة صناعة مستوردة	121	عدد
232	توريد وتركيب شبكة بيانات صناعة مستوردة	484	م ط
233	توريد خوذ سلامة صناعة مستوردة	36	عدد
234	توريد أحذية سلامة صناعة مستوردة	118	زوج
235	توريد قفازات عمل صناعة مستوردة	155	زوج
236	توريد سقالات معدنية صناعة مستوردة	36	طن
237	توريد وتركيب مولد كهربائي صناعة مستوردة	10	جهاز
238	توريد لوحات توزيع فرعية صناعة مستوردة	62	عدد
239	توريد وتركيب أحواض زراعة صناعة مستوردة	99	عدد
240	توريد شجيرات ظل صناعة مستوردة	136	عدد
241	توريد وتركيب بلاط بورسلين سماكة 2 ملم	917	م²
242	توريد وتركيب أرضيات رخام سماكة 2 ملم	954	م²
243	توريد وتركيب نعلات خشبية سماكة 2 ملم	311	م ط
244	أعمال الدهان الداخلي سماكة 2 ملم	1028	م²
245	توريد وتركيب أسقف جبسية سماكة 2 ملم	1065	م²
246	توريد وتركيب قواطع جيبسوم بورد سماكة 2 ملم	1102	م²
247	توريد وتركيب قواطع زجاجية سماكة 2 ملم	1139	م²
248	توريد كيابل نحاس سماكة 2 ملم	496	م ط
249	توريد وتركيب وحدات إضاءة ليد سماكة 2 ملم	151	عدد
250	توريد وتركيب لوحة كهرباء رئيسية سماكة 2 ملم	29	عدد
251	توريد وتركيب مخارج كهرباء سماكة 2 ملم	66	عدد
252	توريد وتركيب كواشف دخان سماكة 2 ملم	103	عدد
253	توريد وتركيب مجاري هواء مرنة سماكة 2 ملم	101	م ط
254	توريد وتركيب مضخة مياه سماكة 2 ملم	18	عدد
255	توريد وتركيب خلاطات مياه سماكة 2 ملم	55	عدد
256	توريد وتركيب مواسير PPR سماكة 2 ملم	212	م ط
257	توريد حديد تسليح سماكة 2 ملم	33	طن
258	توريد خرسانة جاهزة سماكة 2 ملم	111	م³
259	توريد أسمنت مقاوم سماكة 2 ملم	283	كيس
260	توريد وتركيب طوب أسمنتي سماكة 2 ملم	81	عدد
261	توريد وتركيب عزل مائي سماكة 2 ملم	507	م²
262	توريد وتركيب عزل حراري سماكة 2 ملم	544	م²
263	توريد وتركيب أبواب خشبية سماكة 2 ملم	33	عدد
264	توريد وتركيب نوافذ ألمنيوم سماكة 2 ملم	618	م²
265	توريد وتركيب درابزين ستانلس سماكة 2 ملم	545	م ط
266	توريد وتركيب مصاعد كهربائية سماكة 2 ملم	144	عدد
267	توريد وتركيب مكيفات سبليت سماكة 2 ملم	16	جهاز
268	توريد وتركيب مراوح شفط سماكة 2 ملم	59	عدد
269	توريد وتركيب طفايات حريق سماكة 2 ملم	96	عدد
270	توريد وتركيب شبكة إنذار حريق سماكة 2 ملم	133	عدد
271	توريد وتركيب كاميرات مراقبة سماكة 2 ملم	11	عدد
272	توريد وتركيب شبكة بيانات سماكة 2 ملم	224	م ط
273	توريد خوذ سلامة سماكة 2 ملم	85	عدد
274	توريد أحذية سلامة سماكة 2 ملم	78	زوج
275	توريد قفازات عمل سماكة 2 ملم	115	زوج
276	توريد سقالات معدنية سماكة 2 ملم	34	طن
277	توريد وتركيب مولد كهربائي سماكة 2 ملم	2	جهاز
278	توريد لوحات توزيع فرعية سماكة 2 ملم	111	عدد
279	توريد وتركيب أحواض زراعة سماكة 2 ملم	148	عدد
280	توريد شجيرات ظل سماكة 2 ملم	26	عدد
281	توريد وتركيب بلاط بورسلين سماكة 4 ملم	97	م²
282	توريد وتركيب أرضيات رخام سماكة 4 ملم	134	م²
283	توريد وتركيب نعلات خشبية سماكة 4 ملم	51	م ط
284	أعمال الدهان الداخلي سماكة 4 ملم	208	م²
285	توريد وتركيب أسقف جبسية سماكة 4 ملم	245	م²
286	توريد وتركيب قواطع جيبسوم بورد سماكة 4 ملم	282	م²
287	توريد وتركيب قواطع زجاجية سماكة 4 ملم	319	م²
288	توريد كيابل نحاس سماكة 4 ملم	236	م ط
289	توريد وتركيب وحدات إضاءة ليد سماكة 4 ملم	41	عدد
290	توريد وتركيب لوحة كهرباء رئيسية سماكة 4 ملم	78	عدد
291	توريد وتركيب مخارج كهرباء سماكة 4 ملم	115	عدد
292	توريد وتركيب كواشف دخان سماكة 4 ملم	152	عدد
293	توريد وتركيب مجاري هواء مرنة سماكة 4 ملم	421	م ط
294	توريد وتركيب مضخة مياه سماكة 4 ملم	67	عدد
295	توريد وتركيب خلاطات مياه سماكة 4 ملم	104	عدد
296	توريد وتركيب مواسير PPR سماكة 4 ملم	532	م ط
297	توريد حديد تسليح سماكة 4 ملم	31	طن
298	توريد خرسانة جاهزة سماكة 4 ملم	116	م³
299	توريد أسمنت مقاوم سماكة 4 ملم	63	كيس
300	توريد وتركيب طوب أسمنتي سماكة 4 ملم	130	عدد
301	توريد وتركيب عزل مائي سماكة 4 ملم	837	م²
302	توريد وتركيب عزل حراري سماكة 4 ملم	874	م²
303	توريد وتركيب أبواب خشبية سماكة 4 ملم	82	عدد
304	توريد وتركيب نوافذ ألمنيوم سماكة 4 ملم	948	م²
305	توريد وتركيب درابزين ستانلس سماكة 4 ملم	285	م ط
306	توريد وتركيب مصاعد كهربائية سماكة 4 ملم	34	عدد
307	توريد وتركيب مكيفات سبليت سماكة 4 ملم	8	جهاز
308	توريد وتركيب مراوح شفط سماكة 4 ملم	108	عدد
309	توريد وتركيب طفايات حريق سماكة 4 ملم	145	عدد
310	توريد وتركيب شبكة إنذار حريق سماكة 4 ملم	23	عدد
311	توريد وتركيب كاميرات مراقبة سماكة 4 ملم	60	عدد
312	توريد وتركيب شبكة بيانات سماكة 4 ملم	544	م ط
313	توريد خوذ سلامة سماكة 4 ملم	134	عدد
314	توريد أحذية سلامة سماكة 4 ملم	38	زوج
315	توريد قفازات عمل سماكة 4 ملم	75	زوج
316	توريد سقالات معدنية سماكة 4 ملم	32	طن
317	توريد وتركيب مولد كهربائي سماكة 4 ملم	18	جهاز
318	توريد لوحات توزيع فرعية سماكة 4 ملم	1	عدد
319	توريد وتركيب أحواض زراعة سماكة 4 ملم	38	عدد
320	توريد شجيرات ظل سماكة 4 ملم	75	عدد
321	توريد وتركيب بلاط بورسلين قطر 110 ملم	427	م²
322	توريد وتركيب أرضيات رخام قطر 110 ملم	464	م²
323	توريد وتركيب نعلات خشبية قطر 110 ملم	371	م ط
324	أعمال الدهان الداخلي قطر 110 ملم	538	م²
325	توريد وتركيب أسقف جبسية قطر 110 ملم	575	م²
326	توريد وتركيب قواطع جيبسوم بورد قطر 110 ملم	612	م²
327	توريد وتركيب قواطع زجاجية قطر 110 ملم	649	م²
328	توريد كيابل نحاس قطر 110 ملم	556	م ط
329	توريد وتركيب وحدات إضاءة ليد قطر 110 ملم	90	عدد
330	توريد وتركيب لوحة كهرباء رئيسية قطر 110 ملم	127	عدد
331	توريد وتركيب مخارج كهرباء قطر 110 ملم	5	عدد
332	توريد وتركيب كواشف دخان قطر 110 ملم	42	عدد
333	توريد وتركيب مجاري هواء مرنة قطر 110 ملم	161	م ط
334	توريد وتركيب مضخة مياه قطر 110 ملم	116	عدد
335	توريد وتركيب خلاطات مياه قطر 110 ملم	153	عدد
336	توريد وتركيب مواسير PPR قطر 110 ملم	272	م ط
337	توريد حديد تسليح قطر 110 ملم	29	طن
338	توريد خرسانة جاهزة قطر 110 ملم	121	م³
339	توريد أسمنت مقاوم قطر 110 ملم	693	كيس
340	توريد وتركيب طوب أسمنتي قطر 110 ملم	20	عدد
341	توريد وتركيب عزل مائي قطر 110 ملم	1167	م²
342	توريد وتركيب عزل حراري قطر 110 ملم	54	م²
343	توريد وتركيب أبواب خشبية قطر 110 ملم	131	عدد
344	توريد وتركيب نوافذ ألمنيوم قطر 110 ملم	128	م²
345	توريد وتركيب درابزين ستانلس قطر 110 ملم	25	م ط
346	توريد وتركيب مصاعد كهربائية قطر 110 ملم	83	عدد
347	توريد وتركيب مكيفات سبليت قطر 110 ملم	24	جهاز
348	توريد وتركيب مراوح شفط قطر 110 ملم	157	عدد
349	توريد وتركيب طفايات حريق قطر 110 ملم	35	عدد
350	توريد وتركيب شبكة إنذار حريق قطر 110 ملم	72	عدد
351	توريد وتركيب كاميرات مراقبة قطر 110 ملم	109	عدد
352	توريد وتركيب شبكة بيانات قطر 110 ملم	284	م ط
353	توريد خوذ سلامة قطر 110 ملم	24	عدد
354	توريد أحذية سلامة قطر 110 ملم	188	زوج
355	توريد قفازات عمل قطر 110 ملم	35	زوج
356	توريد سقالات معدنية قطر 110 ملم	30	طن
357	توريد وتركيب مولد كهربائي قطر 110 ملم	10	جهاز
358	توريد لوحات توزيع فرعية قطر 110 ملم	50	عدد
359	توريد وتركيب أحواض زراعة قطر 110 ملم	87	عدد
360	توريد شجيرات ظل قطر 110 ملم	124	عدد
361	توريد وتركيب بلاط بورسلين قطر 160 ملم	757	م²
362	توريد وتركيب أرضيات رخام قطر 160 ملم	794	م²
363	توريد وتركيب نعلات خشبية قطر 160 ملم	111	م ط
364	أعمال الدهان الداخلي قطر 160 ملم	868	م²
365	توريد وتركيب أسقف جبسية قطر 160 ملم	905	م²
366	توريد وتركيب قواطع جيبسوم بورد قطر 160 ملم	942	م²
367	توريد وتركيب قواطع زجاجية قطر 160 ملم	979	م²
368	توريد كيابل نحاس قطر 160 ملم	296	م ط
369	توريد وتركيب وحدات إضاءة ليد قطر 160 ملم	139	عدد
370	توريد وتركيب لوحة كهرباء رئيسية قطر 160 ملم	17	عدد
371	توريد وتركيب مخارج كهرباء قطر 160 ملم	54	عدد
372	توريد وتركيب كواشف دخان قطر 160 ملم	91	عدد
373	توريد وتركيب مجاري هواء مرنة قطر 160 ملم	481	م ط
374	توريد وتركيب مضخة مياه قطر 160 ملم	6	عدد
375	توريد وتركيب خلاطات مياه قطر 160 ملم	43	عدد
376	توريد وتركيب مواسير PPR قطر 160 ملم	592	م ط
377	توريد حديد تسليح قطر 160 ملم	27	طن
378	توريد خرسانة جاهزة قطر 160 ملم	126	م³
379	توريد أسمنت مقاوم قطر 160 ملم	473	كيس
380	توريد وتركيب طوب أسمنتي قطر 160 ملم	69	عدد
381	توريد وتركيب عزل مائي قطر 160 ملم	347	م²
382	توريد وتركيب عزل حراري قطر 160 ملم	384	م²
383	توريد وتركيب أبواب خشبية قطر 160 ملم	21	عدد
384	توريد وتركيب نوافذ ألمنيوم قطر 160 ملم	458	م²
385	توريد وتركيب درابزين ستانلس قطر 160 ملم	345	م ط
386	توريد وتركيب مصاعد كهربائية قطر 160 ملم	132	عدد
387	توريد وتركيب مكيفات سبليت قطر 160 ملم	16	جهاز
388	توريد وتركيب مراوح شفط قطر 160 ملم	47	عدد
389	توريد وتركيب طفايات حريق قطر 160 ملم	84	عدد
390	توريد وتركيب شبكة إنذار حريق قطر 160 ملم	121	عدد
391	توريد وتركيب كاميرات مراقبة قطر 160 ملم	158	عدد
392	توريد وتركيب شبكة بيانات قطر 160 ملم	24	م ط
393	توريد خوذ سلامة قطر 160 ملم	73	عدد
394	توريد أحذية سلامة قطر 160 ملم	148	زوج
395	توريد قفازات عمل قطر 160 ملم	185	زوج
396	توريد سقالات معدنية قطر 160 ملم	28	طن
397	توريد وتركيب مولد كهربائي قطر 160 ملم	2	جهاز
398	توريد لوحات توزيع فرعية قطر 160 ملم	99	عدد
399	توريد وتركيب أحواض زراعة قطر 160 ملم	136	عدد
400	توريد شجيرات ظل قطر 160 ملم	14	عدد
401	توريد وتركيب بلاط بورسلين مطفي	1087	م²
402	توريد وتركيب أرضيات رخام مطفي	1124	م²
403	توريد وتركيب نعلات خشبية مطفي	431	م ط
404	أعمال الدهان الداخلي مطفي	1198	م²
405	توريد وتركيب أسقف جبسية مطفي	85	م²
406	توريد وتركيب قواطع جيبسوم بورد مطفي	122	م²
407	توريد وتركيب قواطع زجاجية مطفي	159	م²
408	توريد كيابل نحاس مطفي	36	م ط
409	توريد وتركيب وحدات إضاءة ليد مطفي	29	عدد
410	توريد وتركيب لوحة كهرباء رئيسية مطفي	66	عدد
411	توريد وتركيب مخارج كهرباء مطفي	103	عدد
412	توريد وتركيب كواشف دخان مطفي	140	عدد
413	توريد وتركيب مجاري هواء مرنة مطفي	221	م ط
414	توريد وتركيب مضخة مياه مطفي	55	عدد
415	توريد وتركيب خلاطات مياه مطفي	92	عدد
416	توريد وتركيب مواسير PPR مطفي	332	م ط
417	توريد حديد تسليح مطفي	25	طن
418	توريد خرسانة جاهزة مطفي	131	م³
419	توريد أسمنت مقاوم مطفي	253	كيس
420	توريد وتركيب طوب أسمنتي مطفي	118	عدد
421	توريد وتركيب عزل مائي مطفي	677	م²
422	توريد وتركيب عزل حراري مطفي	714	م²
423	توريد وتركيب أبواب خشبية مطفي	70	عدد
424	توريد وتركيب نوافذ ألمنيوم مطفي	788	م²
425	توريد وتركيب درابزين ستانلس مطفي	85	م ط
426	توريد وتركيب مصاعد كهربائية مطفي	22	عدد
427	توريد وتركيب مكيفات سبليت مطفي	8	جهاز
428	توريد وتركيب مراوح شفط مطفي	96	عدد
429	توريد وتركيب طفايات حريق مطفي	133	عدد
